# Branch retirement list (INFRA-388)
#
# Branches listed here are exempt from the "unmerged unique commits"
# protection in scripts/branch_cleanup.sh. Use this ONLY when a branch's
# work was superseded by an equivalent implementation that landed on main
# through a different PR, so the INFRA-383 content-containment check cannot
# see it and the branch would otherwise be protected forever.
#
# Retirement does NOT bypass:
#   - the open-PR protection (branches with an open PR are always skipped)
#   - the 24h age threshold in scheduled mode
#
# Every entry needs a justification line. The whole file is merged through
# PR review, which is the human approval for deleting "protected" branches.
# Remove entries once the branch is gone so the list stays short.
#
# Second legitimate use case (第二类合法用途): one-time validation fixture
# branches whose PR body explicitly declares Do-NOT-merge (e.g., "Do NOT merge"
# or "此 PR 不应被合并"), created solely for live validation and discarded after
# verification completes. Retirement is not limited to the single premise of
# "superseded by equivalent implementation on main". See PR #921 and PR #922
# for concrete examples: both were temporary fixtures with explicit non-merge
# declarations in their PR bodies, closed after validation without merging.
#
# Format: <branch-name> | <INFRA ref> | <evidence>

factory/infra-581-rule-packs-docs | INFRA-586 | PR #24 (infra-core) CLOSED unmerged at 2026-08-27T02:16Z; docs-only README rule-pack section. Core fix superseded: resolve_rule_packs lazy-load + 5-tool expansion + enabled:false override already on main via PR #23 (6164aa3, INFRA-581 已完成), and owner marked INFRA-581 terminal without merging the docs PR (terminal absorption, mirror closed). Owner cross-referenced #24 from merged PR #27 (05:33Z) as superseded precedent. Discretionary docs-sync work abandoned by owner's close; INFRA-383 containment check cannot see it, branch would be protected forever (INFRA-586 tracking issue)
validation-td/round4-race-proof-v2 | INFRA-388 | PR #921 CLOSED; one-time validation fixture, PR body explicitly states "Do NOT merge", discarded after verification
validation-td/round5-window-catcher | INFRA-388 | PR #922 CLOSED; one-time validation fixture, PR body explicitly states "此 PR 不应被合并", discarded after verification
factory/infra-589-tmp-state-pollution | INFRA-632 | PR #35 (infra-core) CLOSED unmerged at 2026-08-29T07:34Z (auto-merge CONFLICTING); work superseded by PR #57 (6cedfe7, merged 2026-08-29T08:08Z) which redid the fix on new main: RUNNER_TEMP per-run state isolation lives in actions/branch-cleanup/action.yml (PR #57), pull/N/merge refs filter + VAL-BRANCH-034/035/036 contract tests on main; branch tip predates and lacks #49/#51 gh --repo context guard, INFRA-383 containment check cannot see cross-implementation equivalence (INFRA-632 tracking issue, mirror #77)
factory/infra-585-fix-vars-forwarding | INFRA-640 | PR #28 (infra-core) CLOSED unmerged at 2026-08-27T12:55Z; owner comment: vars.BRANCH_AGE_* forwarding fix already landed on main via PR #27 (e500f37, merged 2026-08-27T09:00Z), branch superseded and closed for backlog cleanup. Branch's 1 unique commit is the older standalone composite-action env fix; INFRA-383 merge-tree containment check cannot see that main achieved the same forwarding via the thin-caller architecture (M4, INFRA-583), so the branch would be protected forever (INFRA-640 tracking issue, mirror #88)
mission-ic-gate-infra-droid-review-enable | INFRA-640 | PR #42 (infra-core) CLOSED unmerged at 2026-08-28T11:39Z; owner comment: superseded by the split plan PR-A #43 (droid-review workflow enablement, merged 2026-08-28T10:52Z) + PR-B #44 (ci-ok polls droid-review status, merged 2026-08-29T04:39Z). Branch's 1 unique commit is the pre-split monolithic gate enablement; INFRA-383 containment check cannot see cross-PR split equivalence, branch would be protected forever (INFRA-640 tracking issue, mirror #88)
mission-ic-runner-host-toolchain-pin-cache | INFRA-640 | PR #37 (infra-core) CLOSED unmerged at 2026-08-29T07:12Z (baseline drift, auto-merge CONFLICTING); owner comment: superseded by PR #56 (merged 2026-08-29T17:05Z) which salvaged-redid Layer 1+2 host toolchain pinning & shared cache on new main, fixing the fatal dropped "Install dependencies" step (INFRA-590) and aligning with merged #53 actionlint host-first mode. Branch's 4 unique commits (1 feat + 3 stale main merges) are the abandoned first implementation; INFRA-383 containment check cannot see cross-implementation equivalence, branch would be protected forever (INFRA-640 tracking issue, mirror #88)
factory/infra-670-hygiene-dup-falsepos | INFRA-674 | PR #112 (infra-core) CLOSED unmerged at 2026-08-30T22:16Z by owner (hdot123) after droid-review flagged 2 P3s (stdout-redirect restore placement in test_code_hygiene_audit.py); Linear INFRA-670 terminal-absorbed to 已取消 at 22:16Z same day (GitHub mirror closed, no open issue). No equivalent implementation on main (hygiene.py has no --exclude/fnmatch support) — this is owner-abandoned discretionary work, same retirement class as factory/infra-581-rule-packs-docs (VAL-BRANCH-033): INFRA-383 containment check cannot see "owner closed without merging", branch would be protected forever (INFRA-674 tracking issue, mirror #115)
factory/infra-681-suppress-action-copy | INFRA-698 | PR #124 (infra-core) CLOSED unmerged at 2026-08-31T07:16Z by owner (hdot123); mirror #122 closed NOT_PLANNED same second, Linear INFRA-681 terminal-absorbed to 已取消. Root cause per owner: suppress.json additions were not paired with the INFRA-659 exact-equality lock test update (test_suppress_json_covers_inherent_layout_findings), pytest/e2e double-red → auto-merge held → owner closed. Work superseded by PR #142 (7741b4b, merged 2026-08-31T13:36Z, INFRA-691): main's .evolution/suppress.json ships 18 CODE_HYGIENE_DUPLICATE_BLOCK entries covering all 8 same-name function pairs in the publish_findings.py file pair, plus the paired lock-test update the branch lacked; INFRA-383 containment check cannot see cross-implementation equivalence, branch would be protected forever (INFRA-698 tracking issue, mirror #149)
factory/infra-682-retire-suppress-copy | INFRA-698 | PR #127 (infra-core) CLOSED unmerged at 2026-08-31T08:16Z by owner (hdot123) after droid-review flagged a P2 (misleading error message in TestDuplicateSuppressionContract referencing the stale scripts/ path while testing src/infra_core/shell/); mirror #126 closed same second, Linear INFRA-682 terminal-absorbed to 已完成. The branch's own work (retiring factory/infra-681-suppress-action-copy) never landed and is now re-landed by this PR with the stale-path defect fixed (VAL-BRANCH-040 asserts the src/ path verbatim); branch's 2 unique commits (1 feat + 1 stale main merge) are the abandoned first retirement attempt — INFRA-383 containment check cannot see cross-implementation equivalence, branch would be protected forever (INFRA-698 tracking issue, mirror #149)
factory/infra-728-dedup-node-available | INFRA-737 | PR #194 (infra-core) CLOSED unmerged at 2026-09-02T15:47Z by owner (hdot123) after droid-review flagged a P2 (node_contract_helpers.py parsed node --version stdout without checking result.returncode — a broken node shim would surface as a confusing ValueError instead of a clean assertion failure); mirror #188 closed same minute, Linear INFRA-728 terminal-absorbed to 已取消. No equivalent implementation on main (both test_node_available duplicate blocks remain, the helper never landed) — this is owner-abandoned discretionary hygiene work (CODE_HYGIENE_DUPLICATE_BLOCK severity info; the scanner will re-file the finding if the dedup is wanted again), same retirement class as factory/infra-670-hygiene-dup-falsepos (VAL-BRANCH-039) and the P2-flagged close of factory/infra-682-retire-suppress-copy (VAL-BRANCH-040): branch's 2 unique commits (1 feat + 1 stale main merge) are the abandoned first dedup attempt; INFRA-383 containment check cannot see "owner closed without merging", branch would be protected forever (INFRA-737 tracking issue, mirror #197)
chore/rename-to-engram | INFRA-893 | PR #2 (mencbo) CLOSED unmerged; engram rename superseded by PR #3 (mencbo, merged 2026-09-06T03:33:46Z) which renamed the project to MenCbo (mencbo) instead; main contains neither "memengine" nor "engram" today, branch's 1 unique commit a24fd3a is the abandoned alternative naming; INFRA-383 containment check cannot see cross-implementation equivalence, branch would be protected forever (INFRA-893 tracking issue, mirror mencbo#69)
chore/v0.2.1-updater-e2e | INFRA-893 | PR #30 (mencbo) MERGED via squash d871692 (2026-09-07T06:31:57Z, in main ancestry); git cherry marks branch's 1 unique commit 27fcdb5 patch-equivalent to the squash, content fully merged; main evolved the version fields since (0.2.2 via #31, then 0.2.4), so INFRA-383 merge-tree containment check cannot prove containment on evolved main, branch would be protected forever (INFRA-893 tracking issue, mirror mencbo#69)
feat/desktop-ci-foundation | INFRA-893 | PR #35 (mencbo) MERGED via squash 71cc94c (2026-09-07T12:08:27Z, in main ancestry); git cherry marks feat commit ff20264 patch-equivalent, branch's other unique commit eccc544 is a stale main merge (no patch); main evolved past the branch tip (auto-merge.yml workflow list gained "Droid Auto Review", infra-core pin v0.15.0 to v0.15.2), INFRA-383 merge-tree containment check fails on evolved main, branch would be protected forever (INFRA-893 tracking issue, mirror mencbo#69)
val/ci002-engine-only | INFRA-893 | PR #43 (mencbo) CLOSED; one-time validation fixture for VAL-CI-002, PR body explicitly declares "will be closed, do not merge", comment-only 2-line change in packages/mencbo/src/index.ts, discarded after Desktop path-filter verification; same retirement class as validation-td/round4-race-proof-v2 (PR #921) and validation-td/round5-window-catcher (PR #922) (INFRA-893 tracking issue, mirror mencbo#69)
